Interview Schedule - Final Selection,,,,,,,,Sheet shared with students,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
COMPANY NAME,,,,[Microsoft],,,,START DATE,14-03-2024,,,,,,,,,,,,,,
CR NAME & CONTACT DETAILS,,,,Adityasinh Chauhan - 8780117395,,,,END DATE,15-03-2024,,3-12-18,,,,,,,,,,,,
,,,,Dhruv Savani - 7041657297,,,,,,,,,,,,,,,,,,,
,,,,Meet Upadhyay - 8160115462,,,,,,,,,,,,,,,,,,,
,,,,Mustafa - 9974363143,,,,,,,,,,,,,,,,,,,
Sr. No.,Name of the student,Interview Date,Interview Status,Interview Start Time,Interview End Time,Student ID,Email,Program,Contact No.,Whatsapp No.,Alternate No.,Skype Id,,,,,,,,,,,
1,Ananya Desai,14-03-2024,Completed,14:00,15:00,202001013,202001013@daiict.ac.in,BTech ICT,7967890123,7967890123,9906789012,live:.cid.m9k3q7p1lwz,,,,,,,,,,,
2,Rohan Mehta,14-03-2024,Completed,15:00,16:00,202003017,202003017@daiict.ac.in,BTech MNC,7978901234,7978901234,9907890123,live:.cid.v2f4cn8h5xb,,,,,,,,,,,
3,Yuvraj Kapoor,14-03-2024,Completed,17:00,18:00,202002025,202002025@daiict.ac.in,BTech EVD,7990123456,7990123456,9909012345,live:.cid.c8h5xn2b9aj,,,,,,,,,,,
4,Priyanka Tiwari,14-03-2024,Completed,18:00,19:00,202211013,202211013@daiict.ac.in,MTech ICT ,7956789012,7956789012,9934567890,live:.cid.g7z2pk4w8jl,,,,,,,,,,,
5,Vipul Gupta,15-03-2024,Completed,15:00,16:00,202211045,202211045@daiict.ac.in,MTech ICT,7923456789,7923456789,9941234567,live:.cid.f4l7vj2r8pm,,,,,,,,,,,
6,Shreya Sharma,15-03-2024,Completed,16:00,17:00,202211047,202211047@daiict.ac.in,MTech ICT ,7934567890,7934567890,9942345678,live:.cid.x6n9zj1m8vp,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
